,red,green,blue,y
620,60,160,180,1
2032,240,0,80,1
1814,200,180,140,1
1444,160,140,20,0
2030,240,0,40,0
893,100,60,180,0
1538,180,20,80,0
1894,220,40,180,0
73,0,100,160,0
2047,240,20,120,1
1484,160,200,40,1
1623,180,140,220,0
1192,140,0,180,0
2038,240,0,200,0
1715,200,20,240,0
2031,240,0,60,0
2169,240,200,220,0
936,100,140,0,1
985,100,200,200,1
258,20,120,220,1
1837,200,220,80,0
2171,240,220,0,1
628,60,180,80,1
2103,240,100,200,0
931,100,120,160,0
721,80,60,120,0
484,40,220,60,1
1352,160,0,0,0
427,40,120,220,1
806,80,200,0,1
1598,180,100,240,0
1525,180,0,80,0
354,40,20,60,0
796,80,180,60,1
1842,200,220,180,1
1976,220,180,0,0
1050,120,40,200,0
563,60,80,80,0
1784,200,140,60,0
424,40,120,160,0
521,60,20,20,0
219,20,60,220,1
987,100,200,240,1
1732,200,60,60,1
1717,200,40,20,1
1768,200,120,0,1
1376,160,20,220,0
2182,240,220,220,0
1684,180,240,140,1
712,80,40,200,0
2115,240,120,180,0
1437,160,120,140,0
1705,200,20,40,0
426,40,120,200,1
1310,140,180,200,1
1618,180,140,120,1
2046,240,20,100,1
1286,140,140,240,0
2042,240,20,20,0
2083,240,80,60,1
1103,120,120,220,0
495,40,240,20,1
1948,220,120,220,0
2006,220,220,80,0
1491,160,200,180,1
1464,160,160,160,0
1571,180,60,220,0
584,60,100,240,1
1896,220,40,220,0
1031,120,20,80,0
2054,240,40,0,1
747,80,100,120,0
443,40,160,20,1
1313,140,200,0,1
186,20,20,80,1
2196,240,240,240,0
1590,180,100,80,0
761,80,120,140,0
1038,120,20,220,0
1091,120,100,240,0
243,20,100,180,1
297,20,180,220,1
2172,240,220,20,1
1272,140,120,220,0
591,60,120,120,0
1018,120,0,80,0
608,60,140,200,1
1854,200,240,160,1
1125,120,160,140,0
337,20,240,240,1
2110,240,120,80,1
1883,220,20,220,0
627,60,180,60,1
1748,200,80,120,0
1429,160,100,240,0
730,80,80,40,0
798,80,180,100,1
381,40,60,80,0
284,20,160,220,1
431,40,140,40,1
520,60,20,0,0
316,20,220,80,1
2088,240,80,160,0
1582,180,80,180,0
2060,240,40,120,1
1627,180,160,40,0
891,100,60,140,0
2066,240,40,240,0
1570,180,60,200,0
665,60,240,40,1
292,20,180,120,1
1585,180,80,240,0
533,60,40,0,0
504,40,240,200,1
451,40,160,180,1
731,80,80,60,0
966,100,180,80,1
11,0,0,220,1
825,80,220,120,1
1946,220,120,180,0
576,60,100,80,0
344,40,0,120,1
1553,180,40,120,0
803,80,180,200,1
2075,240,60,160,0
995,100,220,140,1
1259,140,100,220,0
1892,220,40,140,0
438,40,140,180,0
1713,200,20,200,0
1626,180,160,20,0
612,60,160,20,1
1344,140,240,100,1
249,20,120,40,1
1428,160,100,220,0
159,0,240,60,1
144,0,220,20,1
905,100,80,160,0
1812,200,180,100,1
161,0,240,100,1
999,100,220,220,1
1887,220,40,40,1
633,60,180,180,1
1075,120,80,180,0
1706,200,20,60,0
732,80,80,80,0
840,80,240,160,1
698,80,20,180,0
291,20,180,100,1
285,20,160,240,1
1801,200,160,140,1
313,20,220,20,1
1741,200,60,240,0
2188,240,240,80,1
1373,160,20,160,0
396,40,80,120,0
653,60,220,60,1
1664,180,220,0,0
1834,200,220,20,0
241,20,100,140,0
1576,180,80,60,0
642,60,200,100,1
1087,120,100,160,0
61,0,80,180,1
76,0,100,220,1
2176,240,220,100,1
1753,200,80,220,0
294,20,180,160,1
1168,120,220,220,1
872,100,40,20,1
1378,160,40,0,0
990,100,220,40,1
2003,220,220,20,0
1874,220,20,40,0
770,80,140,60,0
497,40,240,60,1
1138,120,180,140,1
290,20,180,80,1
1123,120,160,100,0
